transaction_id,customerID,transaction_date,service_type,amount
47,1904-WAJAA,2023-02-04,Internet,784.66
48,8096-LOIST,2022-03-20,Phone,2852.17
49,5501-TVMGM,2023-01-24,Phone,209.82
50,0895-LNKRC,2023-08-02,Internet,2696.33
51,3886-CERTZ,2023-06-19,Phone,2263.33
52,0887-HJGAR,2023-12-02,Internet,681.8
53,7779-ORAEL,2022-03-15,Internet,1522.14
54,7409-KIUTL,2022-01-05,Internet,2968.78
55,5872-OEQNH,2023-04-08,Phone,2002.36
56,5376-DEQCP,2022-03-23,Phone,556.65
57,9481-SFCQY,2023-06-21,Add-on,1481.4
58,5839-SUYVZ,2023-02-09,Phone,1510.97
59,4373-VVHQL,2023-05-29,Phone,2446.34
60,4958-GZWIY,2022-10-05,Streaming,2765.26
61,6614-FHDBO,2022-08-12,Internet,430.28
62,3546-GHEAE,2023-08-07,Internet,1079.3
63,8857-CUPFQ,2022-03-09,Phone,1035.63
64,8198-RKSZG,2022-11-16,Phone,2988.93
65,8361-LTMKD,2023-08-29,Add-on,1765.84
66,3084-DOWLE,2022-01-19,Streaming,2663.53
67,5180-UCIIQ,2023-10-02,Internet,1392.89
68,7609-YBPXG,2022-12-09,Internet,2223.62
69,9851-QXEEQ,2023-08-17,Phone,1002.44
70,8868-GAGIO,2022-12-09,Phone,2753.0
71,8823-RLPWL,2022-04-07,Streaming,1474.41
72,3657-COGMW,2022-02-21,Internet,2450.43
73,3413-BMNZE,2022-06-24,Streaming,916.29
74,3451-VAWLI,2022-12-04,Internet,2142.09
75,9909-DFRJA,2023-11-25,Phone,1334.44
76,0701-RFGFI,2022-12-19,Streaming,288.03
77,4522-XRWWI,2023-01-26,Add-on,1356.42
78,8720-RQSBJ,2022-04-25,Phone,1740.06
79,5762-TJXGK,2022-12-14,Add-on,624.93
80,3422-WJOYD,2022-01-01,Add-on,714.96
81,8400-WZICQ,2022-03-04,Add-on,1501.62
82,0137-OCGAB,2022-08-14,Internet,1159.64
83,5376-PCKNB,2023-02-27,Add-on,1434.07
84,0812-WUPTB,2022-01-19,Internet,1490.32
85,7041-TXQJH,2022-01-31,Streaming,592.21
86,4948-WBBKL,2023-09-25,Phone,707.34
87,1518-VOWAV,2022-01-24,Internet,2574.86
88,6369-MCAKO,2022-07-30,Internet,655.61
89,4983-CCWMC,2022-06-10,Streaming,2064.56
90,0867-MKZVY,2022-09-12,Streaming,1371.88
91,2192-OZITF,2023-07-25,Phone,2911.06
92,0348-SDKOL,2022-04-24,Streaming,385.09
93,3842-IYKUE,2023-05-19,Internet,2525.09
94,7739-LAXOG,2023-11-03,Phone,1576.06
95,8565-WUXZU,2022-08-08,Phone,214.99
96,0384-LPITE,2022-12-23,Phone,938.25
97,5827-MWCZK,2022-06-18,Add-on,1341.55
98,2800-QQUSO,2023-06-08,Add-on,1079.75
99,5095-ETBRJ,2022-08-30,Internet,1214.86
100,7649-SIJJF,2023-01-10,Add-on,2766.68
101,9137-UIYPG,2022-05-19,Streaming,1210.62
102,0657-DOGUM,2022-04-07,Phone,1372.72
103,2088-IEBAU,2022-05-27,Internet,2331.17
104,7945-HLKEA,2022-07-01,Streaming,2422.73
105,4121-AGSIN,2022-02-26,Phone,435.45
106,9184-GALIL,2022-02-11,Streaming,2171.4
107,9769-TSBZE,2023-12-12,Add-on,1551.2
108,8073-IJDCM,2023-06-27,Streaming,574.79
109,8041-TMEID,2023-11-23,Add-on,941.19
110,1929-ZCBHE,2022-01-02,Streaming,326.1
111,5686-CMAWK,2022-10-15,Internet,1208.66
112,0388-EOPEX,2022-05-18,Add-on,915.14
113,2725-IWWBA,2023-09-09,Add-on,1269.89
114,7996-MHXLW,2023-05-27,Phone,1824.95
115,4521-YEEHE,2023-12-31,Add-on,2250.55
116,5698-BQJOH,2022-08-10,Phone,1894.99
117,2266-FUBDZ,2022-11-27,Add-on,2099.46
118,6142-VSJQO,2023-09-09,Add-on,2623.79
119,3239-TPHPZ,2023-02-08,Add-on,2646.71
120,3778-FOAQW,2023-05-23,Add-on,2610.01
121,0254-KCJGT,2022-05-07,Phone,628.87
122,4472-VESGY,2022-09-22,Internet,902.99
123,8634-CILSZ,2023-12-13,Streaming,1606.51
124,9932-WBWIK,2022-01-15,Add-on,1204.47
125,7558-IMLMT,2022-08-14,Add-on,568.67
126,9774-NRNAU,2022-04-15,Internet,1005.7
127,1162-ECVII,2023-05-08,Phone,2931.2
128,3956-MGXOG,2022-11-15,Streaming,1171.39
129,8221-EQDGL,2022-08-07,Internet,1372.96
130,1139-WUOAH,2022-10-04,Internet,217.92
131,2709-UQGNP,2022-12-07,Internet,2214.36
132,5998-VVEJY,2023-03-28,Internet,1357.94
133,0015-UOCOJ,2023-01-04,Add-on,488.79
134,3413-CSSTH,2023-04-19,Streaming,2911.96
135,5505-OVWQW,2022-07-09,Add-on,2376.81
136,7208-PSIHR,2023-02-23,Internet,2233.22
137,9323-HGFWY,2023-12-11,Streaming,2882.04
138,2729-VNVAP,2023-05-10,Internet,1340.94
139,2302-ANTDP,2022-02-08,Phone,2211.89
140,6860-YRJZP,2022-06-11,Internet,777.38
141,4929-ROART,2022-05-01,Internet,2151.94
142,5406-KGRMX,2023-02-03,Phone,239.42
143,1991-VOPLL,2022-09-19,Add-on,553.66
144,9391-YZEJW,2023-12-29,Streaming,1390.72
145,3138-BKYAV,2023-07-15,Internet,233.86
146,8265-HKSOW,2023-08-27,Internet,1493.5
147,1110-KYLGQ,2022-05-09,Phone,1663.82
148,8063-RJYNF,2023-06-24,Streaming,1940.5
149,2770-NSVDG,2022-12-22,Phone,481.08
150,3070-FNFZQ,2023-10-22,Internet,706.83
151,3262-EIDHV,2023-03-08,Add-on,1917.19
152,1754-GKYPY,2022-03-06,Add-on,2042.93
153,5271-YNWVR,2022-08-06,Streaming,272.52
154,2397-BRLOM,2023-07-17,Internet,1713.03
155,1080-BWSYE,2023-03-03,Phone,2397.95
156,8436-BJUMM,2022-03-15,Internet,393.48
157,3957-HHLMR,2023-04-05,Phone,1356.88
158,0530-IJVDB,2023-03-01,Phone,1114.23
159,8606-OEGQZ,2023-12-12,Streaming,2758.26
160,1937-OTUKY,2022-07-11,Phone,720.25
161,5996-EBTKM,2022-07-08,Streaming,1091.41
162,3714-JTVOV,2022-01-12,Add-on,2715.65
163,6348-SNFUS,2022-08-27,Streaming,1125.83
164,8010-EZLOU,2023-08-16,Streaming,1687.77
165,0780-XNZFN,2023-03-29,Streaming,292.5
166,8456-QDAVC,2023-01-18,Add-on,2957.73
167,2277-BKJKN,2022-02-17,Streaming,2509.85
168,9944-HKVVB,2022-11-13,Phone,1976.32
169,5013-SBUIH,2022-07-28,Phone,370.11
170,6103-LIANB,2023-07-01,Streaming,409.64
171,4759-TRPLW,2022-04-29,Phone,1725.93
172,2027-WKXMW,2023-07-31,Streaming,998.18
173,0440-MOGPM,2022-11-11,Add-on,1943.81
174,6950-TWMYB,2022-02-05,Phone,1874.94
175,9979-RGMZT,2023-04-08,Streaming,2548.22
176,1293-BSEUN,2023-07-08,Internet,987.86
177,1545-ACTAS,2023-08-04,Add-on,1818.02
178,1060-ENTOF,2023-02-07,Internet,2376.62
179,3717-FDJFU,2022-04-17,Streaming,1574.16
180,1269-FOYWN,2022-02-08,Phone,2525.8
181,0376-YMCJC,2023-08-04,Streaming,567.57
182,2832-KJCRD,2022-06-29,Phone,2254.91
183,0394-YONDK,2022-01-12,Streaming,2840.35
184,9060-HJJRW,2022-12-05,Streaming,1129.27
185,2402-TAIRZ,2023-12-17,Phone,1225.74
186,3030-YZADT,2023-07-02,Phone,433.94
187,9500-WBGRP,2022-05-06,Streaming,1996.18
188,0880-FVFWF,2022-03-04,Internet,1746.86
189,1143-NMNQJ,2022-03-23,Add-on,312.97
190,8107-RZLNV,2022-10-26,Internet,2306.19
191,5327-CNLUQ,2022-02-03,Internet,2522.0
192,7089-XXAYG,2023-09-01,Internet,2739.93
193,3976-HXHCE,2022-02-18,Internet,1728.06
194,8404-GFGCZ,2023-10-20,Phone,1467.22
195,7622-NXQZR,2023-09-29,Internet,2653.18
196,4199-QHJNM,2023-12-02,Add-on,1316.35
197,3243-ZHOHY,2022-02-26,Phone,2035.24
198,3084-DOWLE,2022-04-19,Internet,1923.01
199,0348-SDKOL,2023-06-01,Phone,1242.05
200,7503-ZGUZJ,2022-01-24,Internet,443.29
201,5364-XYIRR,2022-08-09,Internet,259.96
202,9764-REAFF,2022-11-11,Add-on,1399.07
203,9172-JITSM,2022-10-21,Phone,1547.36
204,5063-IUOKK,2022-01-10,Phone,2503.5
205,7774-OJSXI,2023-11-08,Streaming,1360.35
206,2212-LYASK,2023-04-26,Internet,987.25
207,6345-ULYRW,2023-12-28,Internet,1493.87
208,2208-NKVVH,2023-09-30,Add-on,866.37
209,0201-OAMXR,2022-09-24,Add-on,455.81
210,0019-GFNTW,2022-03-29,Phone,516.52
211,6120-RJKLU,2023-03-31,Add-on,1093.63
212,4878-BUNFV,2023-09-18,Phone,235.49
213,6892-BOGQE,2023-06-17,Internet,816.57
214,5093-FEGLU,2022-05-28,Internet,2405.06
215,6260-ONULR,2023-12-30,Phone,856.93
216,3347-YJZZE,2023-03-07,Add-on,510.04
217,1492-KGETH,2022-08-30,Add-on,2857.43
218,9644-KVCNC,2023-12-03,Phone,1942.92
219,6139-ZZRBQ,2022-03-07,Internet,368.07
220,1792-UXAFY,2023-01-13,Phone,374.28
221,6339-RZCBJ,2023-01-23,Add-on,1913.94
222,8992-OBVDG,2022-07-28,Phone,1712.36
223,0480-BIXDE,2023-02-19,Internet,391.45
224,9565-FLVCG,2022-01-16,Streaming,828.08
225,7615-ESMYF,2022-10-24,Phone,2801.32
226,7047-FWEYA,2022-08-08,Streaming,1801.63
227,2391-SOORI,2023-01-02,Phone,1432.91
228,8707-HOEDG,2022-08-17,Add-on,900.44
229,4472-VESGY,2023-09-23,Add-on,574.35
230,0136-IFMYD,2023-03-16,Streaming,1327.37
231,2959-MJHIC,2023-11-21,Phone,2782.63
232,1755-RMCXH,2023-06-16,Add-on,336.39
233,1612-EOHDH,2023-03-26,Streaming,2974.74
234,9555-SAHUZ,2022-02-05,Streaming,781.88
235,4955-VCWBI,2023-02-26,Phone,1344.55
236,6616-AALSR,2023-09-12,Add-on,326.14
237,7993-PYKOF,2022-07-08,Streaming,1837.39
238,7860-UXCRM,2022-06-27,Internet,1553.95
239,8566-YPRGL,2023-08-31,Internet,2066.78
240,1371-OJCEK,2022-11-11,Add-on,1719.5
241,3144-AUDBS,2022-01-20,Add-on,1314.9
242,1038-RQOST,2023-11-07,Internet,2265.72
243,9909-DFRJA,2023-01-17,Streaming,270.06
244,9978-HYCIN,2023-09-01,Phone,1714.88
245,7101-HRBLJ,2022-05-23,Streaming,518.85
246,9974-JFBHQ,2022-03-03,Add-on,1420.82
247,9298-WGMRW,2022-08-30,Add-on,2415.15
248,8778-LMWTJ,2022-08-26,Phone,598.89
249,4475-NVTLU,2022-05-11,Streaming,2820.27
250,7695-PKLCZ,2023-08-28,Phone,2687.81
251,2338-BQEZT,2023-08-26,Streaming,1361.73
252,4957-SREEC,2023-10-07,Streaming,216.73
253,3982-DQLUS,2022-05-03,Internet,2411.29
254,5539-HIVAK,2023-03-16,Streaming,2666.51
255,5115-GZDEL,2022-12-08,Add-on,689.27
256,9507-HSMMZ,2023-02-23,Add-on,2765.34
257,4854-CIDCF,2023-09-22,Add-on,2759.47
258,4860-YZGZM,2023-03-31,Internet,1519.61
259,7233-DRTRF,2022-07-17,Phone,2434.5
260,1015-OWJKI,2022-10-09,Add-on,1445.85
261,2404-JIBFC,2022-01-01,Add-on,1779.33
262,6994-FGRHH,2023-12-24,Phone,1095.55
263,4298-OYIFC,2022-11-28,Internet,646.51
264,3199-XGZCY,2022-07-31,Streaming,2290.3
265,3363-DTIVD,2022-03-28,Phone,203.9
266,4827-LTQRJ,2023-10-27,Streaming,1822.75
267,9027-YFHQJ,2023-11-30,Streaming,2621.12
268,9489-JMTTN,2022-03-02,Streaming,819.58
269,5175-WLYXL,2022-04-05,Phone,1132.12
270,1482-OXZSY,2023-07-07,Phone,1844.96
271,0869-PAPRP,2022-05-27,Streaming,891.24
272,8059-UDZFY,2022-09-03,Internet,2572.96
273,6168-YBYNP,2023-10-06,Internet,1226.49
274,2792-VPPET,2022-10-24,Internet,1828.52
275,6357-JJPQT,2022-05-03,Add-on,833.14
276,5126-RCXYW,2023-10-17,Streaming,315.88
277,3223-WZWJM,2023-11-25,Add-on,686.36
278,8207-DMRVL,2023-12-05,Internet,329.36
279,6772-KSATR,2023-04-01,Phone,1512.09
280,0411-EZJZE,2023-02-03,Internet,1842.58
281,5811-IWXYM,2023-12-20,Add-on,325.09
282,1642-HMARX,2022-08-19,Add-on,453.35
283,7016-NVRIC,2023-06-18,Internet,1559.47
284,5377-NDTOU,2023-02-06,Streaming,2437.7
285,2085-JVGAD,2023-08-15,Phone,1958.43
286,5804-JMYIO,2022-05-10,Phone,493.19
287,4079-ULGFR,2022-10-19,Internet,2685.12
288,9828-QHFBK,2022-10-03,Streaming,2768.86
289,5478-JJVZK,2023-01-11,Streaming,1109.88
290,7710-JSYOA,2022-02-24,Internet,1924.85
291,9801-GDWGV,2023-08-01,Phone,1578.52
292,6837-BJYDQ,2022-01-26,Phone,2837.67
293,3896-ZVNET,2023-03-17,Phone,1624.5
294,9747-DDZOS,2022-07-16,Streaming,2887.9
295,7511-YMXVQ,2023-10-04,Internet,758.16
296,3173-WSSUE,2022-08-31,Streaming,1167.5
297,4472-LVYGI,2023-12-25,Phone,2387.77
298,4830-FAXFM,2022-07-09,Streaming,2394.11
299,5882-CMAZQ,2023-07-22,Phone,2250.11
300,9985-MWVIX,2023-07-21,Internet,2606.91
301,4526-RMTLL,2022-10-03,Phone,2167.13
302,5156-UMKOW,2023-02-13,Add-on,1981.04
303,1936-CZAKF,2022-12-06,Add-on,1484.99
304,3050-RLLXC,2022-06-02,Internet,1507.85
305,7492-TAFJD,2023-07-19,Streaming,1337.25
306,9600-NAXZN,2023-02-02,Streaming,1936.59
307,4458-KVRBJ,2023-03-20,Streaming,1338.66
308,6615-ZGEDR,2023-09-15,Phone,612.98
309,7964-VEXDG,2023-03-03,Add-on,498.28
310,1629-DQQVB,2023-05-02,Internet,2788.52
311,4680-KUTAJ,2022-07-23,Streaming,269.27
312,7167-PCEYD,2022-04-22,Streaming,495.31
313,7529-ZDFXI,2022-11-21,Internet,1446.85
314,6131-JLWZM,2022-09-15,Phone,936.19
315,3223-WZWJM,2023-06-12,Streaming,1336.38
316,9318-NKNFC,2022-12-16,Phone,528.85
317,5148-HKFIR,2023-11-09,Phone,566.54
318,7649-SIJJF,2023-03-11,Phone,2441.84
319,9451-WLYRI,2023-03-02,Streaming,2325.5
320,8165-CBKXO,2022-10-07,Streaming,491.91
321,1170-SASML,2023-01-06,Internet,2069.81
322,4801-JZAZL,2023-11-01,Internet,1906.07
323,5228-EXCET,2022-09-06,Phone,2197.42
324,7994-XIRTR,2022-06-30,Streaming,1528.46
325,7010-ZMVBF,2023-12-04,Phone,955.96
326,5572-ZDXHY,2023-10-13,Internet,2058.3
327,5056-FIMPT,2022-03-19,Phone,1239.8
328,0394-YONDK,2022-12-02,Add-on,813.07
329,1453-RZFON,2022-02-19,Phone,1344.16
330,4138-NAXED,2022-03-26,Streaming,2337.16
331,7272-QDCKA,2023-11-26,Phone,1532.22
332,9225-BZLNZ,2023-11-26,Phone,1039.62
333,1024-KPRBB,2022-01-04,Streaming,2529.23
334,9537-VHDTA,2022-11-13,Add-on,2668.6
335,8292-ITGYJ,2022-04-21,Streaming,1413.1
336,6178-KFNHS,2022-11-30,Internet,1249.13
337,7033-CLAMM,2022-05-13,Add-on,1915.56
338,1585-MQSSU,2023-09-04,Add-on,362.33
339,7636-OWBPG,2023-11-15,Streaming,2135.7
340,8593-WHYHV,2022-04-29,Phone,2390.41
341,1731-TVIUK,2022-12-16,Internet,1312.84
342,4274-OWWYO,2023-11-18,Internet,688.92
343,0504-HHAPI,2023-06-26,Add-on,280.69
344,7426-WEIJX,2022-02-24,Internet,1984.29
345,4632-PAOYU,2022-12-27,Add-on,953.18
346,3211-AAPKX,2023-12-09,Add-on,1498.89
347,4088-YLDSU,2023-03-29,Internet,1281.8
348,5275-SQEIZ,2023-07-07,Add-on,689.68
349,3282-ZISZV,2023-11-16,Phone,1623.43
350,7890-VYYWG,2022-11-26,Add-on,1486.86
351,4061-UKJWL,2022-08-07,Phone,1947.61
352,5063-IUOKK,2022-07-27,Phone,905.28
353,3212-KXOCR,2023-11-01,Phone,800.99
354,6296-DDOOR,2022-03-26,Internet,2480.17
355,7049-GKVZY,2023-11-16,Phone,2166.14
356,6898-MDLZW,2022-09-02,Internet,2362.18
357,2325-NBPZG,2023-11-16,Streaming,545.21
358,7852-LECYP,2022-12-01,Phone,827.31
359,4749-OJKQU,2022-07-31,Add-on,1811.49
360,4742-TXUEX,2023-08-19,Streaming,2600.16
361,2672-HUYVI,2023-11-16,Streaming,2697.92
362,8173-RXAYP,2022-07-02,Phone,2529.35
363,3453-RTHJQ,2022-05-13,Internet,321.51
364,3261-CQXOL,2022-12-16,Streaming,2498.46
365,7129-CAKJW,2022-10-09,Phone,2717.46
366,9140-CZQZZ,2022-10-20,Streaming,358.9
367,8992-VONJD,2022-09-26,Streaming,1365.59
368,6719-OXYBR,2022-07-16,Phone,1702.51
369,9039-ZVJDC,2023-06-21,Add-on,851.7
370,8606-OEGQZ,2023-10-15,Add-on,1646.72
371,1291-CUOCY,2022-01-20,Add-on,2680.68
372,8565-WUXZU,2023-12-14,Streaming,2627.44
373,7625-XCQRH,2023-02-09,Internet,2831.54
374,0640-YJTPY,2022-04-25,Internet,1555.51
375,2325-NBPZG,2023-12-02,Streaming,1349.59
376,6586-MYGKD,2022-01-26,Streaming,2064.21
377,4393-GEADV,2023-07-20,Phone,1366.93
378,7979-CORPM,2023-11-13,Internet,317.44
379,9489-JMTTN,2023-01-30,Streaming,2215.78
380,0723-FDLAY,2023-01-16,Add-on,986.76
381,6860-YRJZP,2023-06-07,Internet,337.44
382,7693-QPEFS,2023-06-23,Streaming,257.74
383,4804-NCPET,2022-03-24,Phone,2807.81
384,5382-SOYZL,2023-07-04,Phone,905.81
385,1866-DIOQZ,2023-03-21,Internet,1454.12
386,2000-MPKCA,2022-03-28,Add-on,2861.61
387,3524-WQDSG,2023-01-22,Internet,1509.05
388,5876-HZVZM,2023-10-30,Streaming,420.11
389,7359-WWYJV,2023-02-02,Add-on,1745.42
390,4937-QPZPO,2022-10-13,Streaming,446.96
391,0943-ZQPXH,2023-11-29,Add-on,466.25
392,0428-AXXLJ,2023-11-25,Add-on,2584.14
393,3701-SFMUH,2023-01-04,Streaming,1010.38
394,9921-ZVRHG,2023-10-17,Internet,2100.28
395,8033-ATFAS,2023-02-26,Phone,1624.99
396,7029-IJEJK,2023-12-19,Add-on,822.51
397,2220-IAHLS,2023-10-16,Add-on,1649.9
398,6778-JFCMK,2023-11-28,Phone,393.18
399,4432-ADRLB,2023-03-19,Internet,1172.19
400,6000-UKLWI,2023-06-04,Phone,1663.94
401,7203-OYKCT,2023-08-07,Internet,839.5
402,5651-YLPRD,2022-10-15,Add-on,2048.53
403,3799-ISUZQ,2022-04-05,Add-on,345.07
404,5572-ZDXHY,2023-10-31,Streaming,1557.47
405,7005-CCBKV,2022-02-10,Internet,2201.99
406,3196-NVXLZ,2022-11-27,Phone,1403.85
407,2072-ZVJJX,2022-06-04,Internet,2648.84
408,5458-CQJTA,2023-05-19,Internet,1970.14
409,8053-WWDRO,2022-10-02,Internet,2883.78
410,3148-AOIQT,2023-10-28,Internet,995.54
411,8191-XWSZG,2023-07-19,Phone,2828.61
412,5552-ZNFSJ,2022-06-28,Streaming,1899.1
413,0380-NEAVX,2022-05-17,Add-on,2286.5
414,0784-ZQJZX,2022-06-29,Phone,2726.05
415,8883-GRDWQ,2022-07-01,Phone,1743.35
416,3739-YBWAB,2022-09-16,Add-on,2614.11
417,7996-BPXHY,2022-08-31,Streaming,1716.75
418,8265-HKSOW,2022-04-06,Phone,1877.76
419,5093-FEGLU,2022-07-16,Add-on,1446.28
420,6100-FJZDG,2023-06-10,Streaming,607.79
421,0869-PAPRP,2023-09-24,Streaming,1749.81
422,8663-UPDGF,2023-01-22,Internet,2936.86
423,3315-IKYZQ,2023-02-12,Phone,2404.12
424,8098-LLAZX,2022-09-26,Streaming,2293.0
425,1226-UDFZR,2022-06-20,Phone,2001.26
426,6516-NKQBO,2023-08-07,Add-on,1174.14
427,7272-QDCKA,2023-11-22,Phone,674.92
428,8338-QIUNR,2022-06-19,Streaming,828.74
429,1399-OUPJN,2022-06-08,Add-on,217.7
430,3082-WQRVY,2023-05-24,Add-on,2085.75
431,7100-FQPRV,2023-03-23,Internet,2473.26
432,4800-CZMPC,2023-10-28,Add-on,952.95
433,3318-ISQFQ,2022-03-23,Streaming,457.18
434,3043-TYBNO,2022-02-26,Internet,1140.04
435,9795-NREXC,2023-06-03,Streaming,1017.74
436,4660-IRIBM,2022-04-22,Streaming,1462.45
437,9494-BDNNC,2022-02-17,Internet,939.49
438,9052-DHNKM,2023-08-15,Internet,1151.25
439,6734-PSBAW,2023-01-11,Phone,2741.15
440,5153-RTHKF,2022-02-02,Streaming,1137.54
441,1663-MHLHE,2023-05-19,Phone,2399.45
442,7876-BEUTG,2023-09-19,Add-on,1952.33
443,7103-IPXPJ,2022-01-03,Add-on,1145.11
444,0308-IVGOK,2023-05-01,Phone,2489.81
445,2481-SBOYW,2023-05-31,Internet,1866.21
446,3638-VBZTA,2022-02-11,Add-on,224.13
447,3518-PZXZQ,2022-01-09,Internet,392.44
448,0365-BZUWY,2023-10-19,Phone,2307.39
449,4211-MMAZN,2023-09-01,Internet,1450.28
450,3657-COGMW,2022-05-22,Streaming,1335.42
451,7765-LWVVH,2023-03-12,Add-on,608.32
452,6839-ITVZJ,2022-01-27,Internet,640.49
453,8896-BQTTI,2022-02-12,Internet,2433.71
454,3077-RSNTJ,2022-05-11,Streaming,2521.25
455,8670-ERCJH,2022-08-04,Internet,1768.01
456,5977-CKHON,2023-08-29,Phone,1026.36
457,7980-MHFLQ,2023-06-04,Phone,2811.56
458,5125-CNDSP,2023-08-21,Phone,1947.09
459,7395-IGJOS,2022-12-11,Add-on,2430.6
460,3754-DXMRT,2023-05-23,Internet,209.19
461,5982-XMDEX,2023-10-12,Add-on,1460.89
462,8695-ARGXZ,2023-02-17,Add-on,2638.66
463,3259-QMXUN,2022-09-03,Internet,1147.05
464,5844-QVTAT,2023-03-25,Internet,2234.34
465,5271-DBYSJ,2022-01-21,Phone,2041.49
466,8958-JPTRR,2023-02-12,Add-on,626.21
467,4140-WJAWW,2023-04-02,Add-on,2369.73
468,8481-YYXWG,2023-03-20,Internet,515.08
469,8397-MVTAZ,2022-09-22,Add-on,2238.16
470,7240-FQLHE,2023-10-22,Streaming,2974.71
471,8963-MQVYN,2022-07-03,Internet,2882.35
472,3345-JHUEO,2022-08-15,Phone,2440.68
473,2876-VBBBL,2023-07-02,Streaming,1696.65
474,5895-QSXOD,2022-09-03,Streaming,2089.51
475,7247-XOZPB,2022-03-14,Phone,2238.7
476,6650-BWFRT,2022-05-30,Streaming,223.52
477,8439-LTUGF,2023-05-28,Streaming,486.63
478,1705-GUHPV,2022-03-10,Streaming,1871.77
479,4702-IOQDC,2022-08-18,Add-on,218.3
480,1697-LYYYX,2023-12-24,Streaming,2744.94
481,5002-GCQFH,2022-03-13,Streaming,1571.06
482,3727-RJMEO,2023-08-31,Internet,921.75
483,4086-WITJG,2023-02-01,Phone,1302.7
484,7129-ACFOG,2022-03-25,Add-on,2582.17
485,8382-SHQEH,2022-10-26,Add-on,2796.14
486,2055-BFOCC,2022-10-20,Phone,525.46
487,6625-IUTTT,2022-08-11,Add-on,2378.29
488,9375-MHRRS,2022-08-04,Add-on,1819.04
489,3190-FZATL,2022-08-19,Add-on,1839.41
490,7905-TVXTA,2023-02-09,Internet,2382.47
491,9821-POOTN,2022-06-18,Internet,823.97
492,2926-JEJJC,2022-11-25,Add-on,1686.93
493,2129-ALKBS,2023-03-02,Phone,1094.19
494,6030-REHUX,2023-07-08,Phone,464.63
495,2378-YIZKA,2022-07-15,Internet,494.22
496,7851-WZEKY,2023-08-31,Internet,582.12
497,7977-HXJKU,2023-06-10,Streaming,1921.72
498,2233-TXSIU,2023-09-17,Internet,496.32
499,4989-LIXVT,2022-03-18,Add-on,1796.29
500,3685-YLCMQ,2022-10-04,Internet,1847.23
501,0386-CWRGM,2023-04-11,Streaming,2730.91
502,7501-VTYLJ,2023-03-24,Streaming,1953.85
503,9842-EFSYY,2022-11-16,Phone,2959.65
504,0237-YFUTL,2022-06-09,Phone,286.78
505,2480-SQIOB,2023-05-07,Add-on,2171.61
506,1552-TKMXS,2022-11-09,Internet,274.14
507,5639-NTUPK,2023-09-23,Streaming,2242.26
508,6728-CZFEI,2022-06-10,Streaming,1280.38
509,3889-VWBID,2022-11-04,Phone,1911.66
510,5619-XZZKR,2022-05-26,Phone,1066.71
511,5117-ZSMHQ,2023-11-06,Internet,645.49
512,9237-HQITU,2023-01-31,Streaming,2225.84
